asn_destino,frequencia
4780,54941
24158,40509
9919,38855
131596,28410
9924,23647
38841,18924
24154,14443
3462,12695
131591,11636
131602,11336
18049,10156
24164,10029
17421,9448
9922,7340
9676,5418
17408,5038
9674,4558
18046,4362
131611,3864
18182,3663
17809,3573
9311,3307
7482,3302
17709,3213
131627,3033
24163,2514
131584,2507
131645,2399
18419,2367
131628,2279
24165,2137
1659,2055
208223,1993
18429,1991
131634,1979
38851,1951
45250,1939
9416,1905
131642,1766
9505,1742
7532,1710
134823,1614
59268,1321
24155,1268
7483,1210
142005,1184
63902,1139
18422,1138
18041,983
9244,943
10229,937
7656,934
9678,924
23675,906
136462,878
9918,874
131607,873
38042,865
4782,809
18415,758
134094,731
131142,727
38854,715
9671,705
17413,661
131600,630
131657,628
38797,628
17710,602
131149,583
63897,575
7536,573
45761,541
38843,534
56913,531
18412,524
18045,516
131618,499
10126,497
131151,480
10135,461
205329,459
131630,453
131143,452
18428,431
139065,430
9916,424
135596,418
18183,411
24506,408
131660,401
7539,400
131646,384
4781,382
49608,358
131668,351
203472,349
18413,341
17416,327
18042,327
131659,321
18411,320
131588,317
9216,303
7535,302
4783,299
131626,295
150766,291
131636,290
204934,290
150770,287
131644,282
9923,276
210384,270
152626,263
38254,247
56179,245
131148,244
131677,237
18424,237
55789,236
215256,234
207705,234
131587,233
131663,223
18180,221
150755,218
131601,217
131599,217
131655,213
131273,212
205417,211
131635,210
17420,208
150137,208
9264,199
210445,198
213617,195
214841,192
141742,188
131620,187
131619,182
212359,180
131623,174
152619,174
7478,172
212425,170
142046,168
153891,165
57429,156
9267,156
212360,156
18044,151
210932,151
215191,150
24162,150
24168,147
152611,144
150768,141
216123,140
140079,139
131666,139
18181,135
131613,135
131632,132
38837,129
150772,129
18427,128
152615,126
63893,126
45599,126
150767,124
203843,122
63900,121
63910,118
152616,118
205592,117
212154,117
198954,116
214821,114
203405,113
131667,113
216198,112
205013,111
131662,111
152622,103
131609,96
131680,96
131606,96
17651,96
133089,96
18423,94
131621,90
63895,88
131683,88
18047,88
152624,88
207468,87
150771,87
131605,87
17502,86
131617,86
131671,86
131593,86
45342,86
63894,86
204677,84
131638,83
38856,83
17415,82
131144,81
152613,81
131586,80
139903,79
216432,79
206434,78
215993,78
131589,77
63908,76
63896,76
201943,76
215934,76
38839,75
149791,72
212279,68
212358,68
4845,67
18040,65
9915,54
17716,54
38853,48
63909,48
18043,48
152628,48
132157,48
152614,48
9920,47
9917,47
152623,44
18420,44
18426,44
46850,44
131637,44
7537,43
18421,43
131652,43
131676,43
150769,43
18410,43
63899,43
63901,43
18185,43
63906,43
18179,43
24172,43
24169,42
150756,42
131681,42
131595,42
131629,42
9680,42
211749,39
131631,39
133375,39
199203,39
207344,39
149423,39
213430,38
202820,38
207469,38
213428,38
212969,38
215451,35
214030,35
131633,35
38845,35
212331,34
207389,31
202178,29
131643,20
131639,13
17718,11
38852,11
131679,11
9831,11
17713,3
7538,2
38842,2
