asn_upstream,pais_upstream,frequencia
9924,TW,84642
4780,TW,77065
17709,TW,58452
6939,Desconhecido,28560
3491,HK,27555
17408,TW,18900
9002,Desconhecido,17832
3462,TW,15240
2914,Desconhecido,13998
6453,Desconhecido,11841
9680,TW,8289
9505,TW,7555
7533,TW,4505
134823,TW,3240
24482,SG,2579
9304,HK,2519
4637,HK,2413
13335,Desconhecido,2391
21859,Desconhecido,1933
17717,TW,1693
10133,TW,1671
20473,Desconhecido,1656
174,Desconhecido,1532
7656,TW,1453
10310,Desconhecido,1345
139750,HK,1321
55720,MY,1106
9416,TW,940
53587,Desconhecido,889
18046,TW,865
204844,Desconhecido,778
23764,HK,742
18041,TW,734
32787,Desconhecido,674
1299,Desconhecido,667
32595,Desconhecido,655
44324,Desconhecido,572
7539,TW,549
38855,TW,542
9674,TW,524
15412,Desconhecido,523
137409,AU,486
18186,Desconhecido,486
18185,TW,466
58453,HK,463
396356,Desconhecido,451
23961,US,448
133847,MY,430
3786,KR,426
3356,Desconhecido,408
34927,Desconhecido,396
198949,Desconhecido,387
199524,Desconhecido,377
4515,HK,369
45474,SG,364
138915,HK,358
17639,PH,356
6461,Desconhecido,353
34549,Desconhecido,340
38856,TW,310
38001,SG,301
18423,TW,288
7720,US,280
48231,Desconhecido,276
38254,TW,266
4229,Desconhecido,255
10135,TW,254
9264,TW,253
1103,Desconhecido,252
51559,Desconhecido,249
45250,US,242
34872,Desconhecido,227
4635,HK,223
37721,Desconhecido,218
9676,TW,208
10099,HK,207
53667,Desconhecido,197
59796,Desconhecido,197
59105,JP,197
9584,HK,182
57429,Desconhecido,180
55933,HK,178
131634,TW,174
140570,HK,165
212279,Desconhecido,165
9919,TW,155
8966,Desconhecido,153
48362,Desconhecido,147
205329,Desconhecido,147
17676,JP,144
60068,Desconhecido,137
12389,Desconhecido,132
207705,Desconhecido,129
152623,TW,126
19551,Desconhecido,125
215828,Desconhecido,122
18182,TW,119
131658,TW,119
142046,TW,118
27523,Desconhecido,116
54994,Desconhecido,114
9318,KR,110
9678,TW,109
50300,Desconhecido,101
7532,TW,96
50304,Desconhecido,96
1836,Desconhecido,95
34019,Desconhecido,95
12779,Desconhecido,95
32097,Desconhecido,94
137983,HK,91
24155,TW,88
131659,TW,87
983,Desconhecido,86
138415,HK,86
35916,Desconhecido,83
13030,Desconhecido,82
152194,HK,81
138997,HK,80
398465,Desconhecido,80
214821,Desconhecido,78
20485,Desconhecido,75
11967,Desconhecido,74
16509,Desconhecido,72
55355,HK,70
140096,HK,70
63900,TW,69
9681,TW,61
213241,Desconhecido,61
33891,Desconhecido,58
14447,Desconhecido,56
2687,Desconhecido,50
3216,Desconhecido,49
131149,TW,47
38843,TW,44
399870,Desconhecido,44
131310,MY,43
7536,TW,43
58807,HK,43
45559,PH,42
18250,AU,42
133747,HK,42
138195,KR,42
18178,TW,42
395596,Desconhecido,39
55888,JP,39
209735,Desconhecido,39
10241,Desconhecido,39
215934,Desconhecido,39
152615,TW,39
9299,PH,39
48185,Desconhecido,38
131630,TW,38
150768,TW,37
31898,Desconhecido,35
38008,HK,33
150766,TW,33
212895,Desconhecido,30
2497,JP,28
41095,Desconhecido,28
134196,HK,27
150288,SG,22
204921,Desconhecido,21
8359,Desconhecido,21
41051,Desconhecido,16
43298,Desconhecido,16
136826,ID,15
20860,Desconhecido,15
7575,AU,14
17433,HK,14
209533,Desconhecido,12
58057,Desconhecido,11
142061,TW,11
212024,Desconhecido,10
4837,CN,9
56662,Desconhecido,7
12859,Desconhecido,7
7481,TW,6
140715,PH,6
29632,Desconhecido,6
23855,SG,5
53356,Desconhecido,5
131584,TW,5
207841,Desconhecido,5
393577,Desconhecido,4
7018,Desconhecido,4
3333,Desconhecido,4
131638,TW,4
47498,Desconhecido,4
63897,TW,4
11537,Desconhecido,3
204092,Desconhecido,3
6762,Desconhecido,2
24429,CN,2
216458,Desconhecido,2
206499,Desconhecido,2
35280,Desconhecido,1
52025,Desconhecido,1
61292,Desconhecido,1
202365,Desconhecido,1
210919,Desconhecido,1
394256,Desconhecido,1
216123,Desconhecido,1
